source,target,weight
118,4378,0.02041
127,2576,0.01695
132,2344,0.03226
136,5969,0.03571
225,3586,0.02273
235,2344,0.01754
265,2344,0.06667
286,641,0.07143
292,309,0.0625
292,2219,0.05882
292,2645,0.07692
292,2807,0.1
292,3230,0.05556
292,5920,0.11111
309,529,0.0303
309,3924,0.09091
309,4378,0.03571
309,4508,0.01053
309,4641,0.09091
374,529,0.05
374,638,0.09091
433,5969,0.1
462,3924,0.07143
499,4271,0.01124
510,4271,0.01818
523,1081,0.2
525,529,0.0625
529,1044,0.02941
529,3464,0.02632
529,5603,0.03125
585,1609,0.02632
638,3233,0.11111
638,5536,0.01471
641,1611,0.01818
641,3693,0.0137
641,4535,0.02703
641,5488,0.02632
641,5536,0.01786
649,1699,0.05
649,1962,0.05
649,2498,0.14286
649,3283,0.04348
649,4116,0.03704
649,5072,0.125
652,1285,0.01333
652,1376,0.09091
652,1489,0.03226
652,1978,0.05556
652,2484,0.02273
652,3250,0.04167
783,1609,0.02326
849,2344,0.03571
927,4641,0.06667
1040,2576,0.02564
1081,1408,0.2
1081,2938,0.11111
1081,3880,0.1
1081,4116,0.04762
1081,5573,0.125
1149,1211,0.02778
1149,1609,0.02941
1149,2344,0.02941
1149,3233,0.05882
1149,4508,0.01429
1149,5744,0.0303
1209,3586,0.04167
1211,1845,0.01124
1211,2659,0.01538
1211,3055,0.01176
1211,4137,0.02564
1211,5325,0.04167
1297,1609,0.0099
1329,4405,0.05263
1359,5744,0.03333
1447,3483,0.00266
1609,2881,0.04167
1609,4824,0.0125
1641,1984,0.01786
1732,2344,0.07692
1737,3924,0.03571
1747,3055,0.03704
1747,3250,0.09091
1812,2576,0.00719
1863,5744,0.02857
1983,2460,0.03125
1984,3434,0.01613
1984,4821,0.02381
1984,4953,0.01351
1984,5536,0.0068
1984,5961,0.01562
2014,2576,0.05882
2231,4405,0.05263
2460,3057,0.08333
2460,3250,0.11111
2460,3332,0.06667
2460,3516,0.07692
2460,5345,0.07143
2576,4116,0.01064
2576,4722,0.06667
2585,4641,0.1
2700,3924,0.04348
2763,5891,0.125
2848,5969,0.0625
2885,4378,0.0303
2921,5744,0.02632
2993,3586,0.09091
3250,3483,0.01266
3250,4405,0.09091
3250,4508,0.01163
3294,4405,0.125
3483,3733,0.01282
3483,4034,0.01639
3483,4303,0.00595
3483,5636,0.00267
3517,4641,0.2
3586,4116,0.03333
3586,4373,0.01852
3586,5025,0.05
3889,4271,0.01538
3924,4590,0.16667
3924,5385,0.16667
4041,4378,0.01299
4116,4508,0.00455
4116,5891,0.03846
4271,4479,0.02381
4271,5403,0.01316
4271,5536,0.00439
4378,5289,0.02703
4378,5826,0.01961
4405,5083,0.09091
4405,5958,0.14286
4508,5536,0.00254
4641,4841,0.125
4641,5042,0.04762
4698,5891,0.2
4860,5969,0.16667
4949,5891,0.16667
5249,5891,0.08333
5261,5744,0.02632
5504,5969,0.02128
5536,5969,0.02632
5625,5891,0.16667
5744,5875,0.025
